Country Name,Country Code,Region,IncomeGroup,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bolivia,BOL,Latin America & Caribbean,Lower middle income,8397912509,8141537938,7905485216,8082364868,8773451739,9549077869,11451869165,13120183157,16674324634,17339992165,19649631314,23963033431,27084497483,30659338880,32996188013,33000198248,33941126200,37508642165,40287647930,40895322844
Brazil,BRA,Latin America & Caribbean,Upper middle income,655421000000,559372000000,507962000000,558320000000,669317000000,891630000000,1107640000000,1397080000000,1695820000000,1667020000000,2208870000000,2616200000000,2465190000000,2472810000000,2455990000000,1802210000000,1795700000000,2062830000000,1885480000000,1839760000000
Barbados,BRB,Latin America & Caribbean,High income,3059500000,3054500000,3106500000,3209500000,3444500000,3819500000,4217500000,4674000000,4785000000,4465500000,4530000000,4657500000,4610000000,4677000000,4696500000,4715000000,4830000000,4978000000,5086500000,5209000000
Brunei Darussalam,BRN,East Asia & Pacific,High income,6001153306,5601090584,5843329108,6557333085,7872333215,9531402848,11470703002,12247694247,14393099069,10732366286,13707370737,18525319978,19047940301,18093829923,17098342541,12930394938,11400854268,12128104859,13567351175,13469422959
Bhutan,BTN,South Asia,Lower middle income,424464089.9,461444513.7,520849551.5,604041957.9,682523857,796938120.2,874989895.6,1168308517,1227808791,1234014292,1547991318,1777101317,1781281282,1756215665,1907090813,2003598213,2158972129,2450364928,2446866405,2530547158
Botswana,BWA,Sub-Saharan Africa,Upper middle income,5788329609,5489608300,5438857107,7511582173,8957467707,9918907108,10137883299,10939053365,10945070442,10267133178,12786654498,15351972361,14380004175,14901750991,16250781587,14420593484,15646354089,17405588070,18663265549,18340480936
Central African Republic,CAF,Sub-Saharan Africa,Low income,914500299.1,931833302.8,991387870.1,1139754799,1270080251,1337362392,1460561215,1697565949,1985240986,2059094048,2142591376,2437982840,2510126699,1691544192,1894813505,1695825708,1825018191,2072350151,2220978978,2220307369
Canada,CAN,North America,High income,742295000000,736380000000,757951000000,892382000000,1023200000000,1169360000000,1315420000000,1464980000000,1549130000000,1371150000000,1613460000000,1788650000000,1828690000000,1847210000000,1803530000000,1556130000000,1528240000000,1649880000000,1716260000000,1736430000000
Central Europe and the Baltics,CEB,"","",428026000000,468573000000,527958000000,633714000000,762523000000,886115000000,1002190000000,1265850000000,1531500000000,1289520000000,1316610000000,1449110000000,1352690000000,1422190000000,1464900000000,1292090000000,1320630000000,1463500000000,1644440000000,1668850000000
Switzerland,CHE,Europe & Central Asia,High income,272055000000,278631000000,301417000000,352915000000,394164000000,408689000000,430921000000,479913000000,554363000000,541507000000,583783000000,699580000000,668044000000,688504000000,709183000000,679832000000,671309000000,679950000000,705141000000,703082000000
Channel Islands,CHI,Europe & Central Asia,High income,6439703435,6232906290,6663669065,7332244898,8553643354,8827272727,9676172953,11514605842,,,,,,,,,,,,
Chile,CHL,Latin America & Caribbean,High income,77860932152,70979923960,69736811435,75643459840,99210392858,122965000000,154788000000,173606000000,179638000000,172389000000,218538000000,252252000000,267122000000,278384000000,260542000000,243919000000,250440000000,277045000000,298258000000,282318000000
China,CHN,East Asia & Pacific,Upper middle income,1211350000000,1339400000000,1470550000000,1660290000000,1955350000000,2285970000000,2752130000000,3550340000000,4594310000000,5101700000000,6087160000000,7551500000000,8532230000000,9570410000000,10475700000000,11061600000000,11233300000000,12310400000000,13894800000000,14279900000000
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,10083937740,10371327756,11579343088,14548845765,17430933517,17944084201,19356046328,22365265026,26409781215,26017925552,26169323293,29375448542,29102772799,32357345501,34989493826,30928653814,32643697596,35009262788,38694156863,39007354359
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,19088046306,7438189100,8728038525,8937567060,10297483481,11964484668,14451902468,16737071816,19788515874,18648373312,21565720044,25839749199,29306235826,32679745298,35909040266,37917704900,37134799975,38019265626,46831342213,50400746171
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,3219910550,2796704577,3034251042,3503723245,4656975223,6650001214,8072305415,8782703767,11649858744,9723300391,13148395202,15655384440,17692912613,17958721572,17783526318,11953249530,10335424288,11198674674,13518403447,12267392147
Colombia,COL,Latin America & Caribbean,Upper middle income,99886577331,98211749596,97963003805,94641378693,117082000000,145619000000,161619000000,206182000000,242187000000,232398000000,286563000000,334944000000,370921000000,382116000000,381112000000,293482000000,282825000000,311884000000,333569000000,323616000000
Comoros,COM,Sub-Saharan Africa,Lower middle income,350264287.7,378512003.4,425964697.4,546885185,633706149.3,653845122.9,698431827.7,795673128.5,915659192.8,905341090.6,907978723.5,1023086184,1015843369,1116224161,1149587652,966029542,1012835518,1077439663,1178530758,1165839927
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,539227277.6,563024383.3,620974660.2,813963830.2,924318490.8,971977088.2,1107891063,1513933983,1789333749,1711817182,1664310770,1865915544,1741809809,1850470042,1859898513,1596800287,1662998678,1769787215,1966983317,1981845740
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,14949514493,15913363441,16504795593,17196009811,18528955525,19948261084,22602721765,26743972564,30612927059,30562361123,37268614024,42262697840,46473128286,49745088112,50577769838,54775994479,57157992434,58481858043,60553901420,61801385049
Caribbean small states,CSS,"","",34198261849,35249124487,36990581960,39545843699,43259576006,48918431749,55670905492,61875372966,70340127758,59411430651,64524470198,69668274256,72051118642,73417589878,74433668499,72828471571,69191343076,71452564226,74967267520,77721714918
Cuba,CUB,Latin America & Caribbean,Upper middle income,30565400000,31682400000,33590500000,35901200000,38203000000,42643836100,52742800000,58603900000,60806300000,62080000000,64328000000,68990000000,73141000000,77148000000,80656000000,87133000000,91370000000,96851000000,100023000000,
Cayman Islands,CYM,Latin America & Caribbean,High income,,,,,,,4200439499,4466438823,4586114070,4281868766,4156990816,4186223865,4291158968,4405954696,4563017852,4708336756,4909498943,5153091158,5517361238,
Cyprus,CYP,Europe & Central Asia,High income,9985844486,10397897086,11420227885,14547325028,17320552500,18433411267,20072786351,23968764030,27844698989,25945391775,25732432719,27565469098,24978513427,23900872626,23156850007,19842404305,20953442550,22729184365,25309818139,24948935408
Czech Republic,CZE,Europe & Central Asia,High income,61828166496,67808032980,82196001051,100090000000,119814000000,137143000000,156264000000,190184000000,236816000000,207434000000,209070000000,229563000000,208858000000,211686000000,209359000000,188033000000,196272000000,218629000000,248909000000,250681000000
